P.Value B
282 1.3984180949778e-06 5.08950363227414
283 1.42766966173785e-06 5.06983409134864
284 1.43310716838176e-06 5.06622231574041
285 1.50392063154374e-06 5.02040039500303
286 1.51466027824897e-06 5.01364041081366
287 1.52131930363387e-06 5.00947302177427
288 1.5837199114828e-06 4.97128636013361
289 1.59200785464312e-06 4.96632825790115
290 1.59468372804077e-06 4.9647329904639
291 1.5990822011016e-06 4.96211658535944
292 1.60709490843831e-06 4.95736875689296
293 1.65370055975224e-06 4.93021489096602
294 1.68852608393623e-06 4.91042050738913
295 1.72970112454251e-06 4.88753829680501
296 1.81333668357193e-06 4.84269404932302
297 1.93867962539765e-06 4.77922611542121
298 1.94878850986208e-06 4.77428800338743
299 1.95498742904957e-06 4.77127256089076
300 1.97272543362813e-06 4.76269662002398
301 1.98234873814432e-06 4.7580762406745
302 1.99438374043079e-06 4.75232948008638
303 2.0119765204228e-06 4.74399109089484
304 2.01231420539227e-06 4.74383175522683
305 2.03269339102614e-06 4.73426517145985
306 2.05644851701028e-06 4.72323441329
307 2.08528291736463e-06 4.7100153995715
308 2.12275829461246e-06 4.69310611416546
309 2.16606654811892e-06 4.67393371485061
310 2.17036633692124e-06 4.67205122254353
311 2.18845564776963e-06 4.66417226156281
312 2.18947855547622e-06 4.66372867689707
313 2.26234572709828e-06 4.63265263090755
314 2.35464167623501e-06 4.59470024008091
315 2.3689863818691e-06 4.58893587024865
316 2.37335142108338e-06 4.58718873545228
317 2.4445983883817e-06 4.5591181957573
318 2.46455624835244e-06 4.55140195412526
319 2.53452648935973e-06 4.52483575331314
320 2.6861343658406e-06 4.46971020149927
321 2.71092288981854e-06 4.46099460760686
322 2.7669349149932e-06 4.4415915238134
323 2.80461635596408e-06 4.42875859973429
324 2.85284388486925e-06 4.41258391331557
325 2.86028573404849e-06 4.41011248105445
326 2.86516027835425e-06 4.40849713993124
327 2.90253574891452e-06 4.39620231864357
328 2.91824993136214e-06 4.39108038992949
329 2.96628793491637e-06 4.37559246607614
330 2.97727063822969e-06 4.37208685516373
331 2.9955107135497e-06 4.36629327868436
332 3.00972373933361e-06 4.36180327092166
333 3.02500263226679e-06 4.35700019115822
334 3.17650554731682e-06 4.31064842965044
335 3.21060552393741e-06 4.30052148664207
336 3.21731578460477e-06 4.29854138796373
337 3.223443659764e-06 4.2967367558879
338 3.24412347236734e-06 4.29067192880935
339 3.32956934708051e-06 4.26601720543547
340 3.36234579204254e-06 4.25672776216658
341 3.3783892487869e-06 4.25221379416713
342 3.41757125572468e-06 4.24127929665699
343 3.54862177718756e-06 4.20559919530662
344 3.636913374516e-06 4.18229791104957
345 3.65965622478916e-06 4.17638762552392
346 3.72868651315852e-06 4.15867134686717
347 3.77468705903624e-06 4.14704717483146
348 3.81407220237282e-06 4.13720699081043
349 4.00044063058367e-06 4.09198411214429
350 4.06076292771711e-06 4.07779822489011
351 4.06400315365871e-06 4.07704221753635
352 4.18812037626308e-06 4.04852919482633
