Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000026077,Npas2,0.18006594708078233,1.2612431399759712,0.0009934486116846073,0.07313520088788891,-1.2612431399759712,0.0009934486116846073
ENSMUSG00000073702,Rpl31,3.2786227952879243,-0.1787001586951411,0.6156792744517064,3.716182395115855,0.1787001586951411,0.6156792744515854
ENSMUSG00000003134,Tbc1d8,0.11305595845820428,-0.2220590885501581,0.6879431417153323,0.13027207658155213,0.2220590885501581,0.6879431417153323
ENSMUSG00000003135,Cnot11,0.1284046150700797,0.4266952550278007,0.39161078426806106,0.09370447613760766,-0.4266952550278007,0.39161078426806106
ENSMUSG00000085894,Gm15832,0.01647172904689069,-0.2853239820081743,0.949258819258871,0.018283800221972228,0.2853239820081743,0.949258819258871
ENSMUSG00000048234,Rnf149,0.004866647218399522,0.20010284516206678,0.9350863660736454,0.0022854750277465285,-0.20010284516206678,0.9350863660736454
ENSMUSG00000050967,Creg2,0.24745029318169878,1.0355148753484817,0.003423616249805092,0.11884470144281947,-1.0355148753484817,0.003423616249805092
ENSMUSG00000097083,D930019O06Rik,0.009733294436799045,0.5626729245467752,0.6876587340912943,0.004570950055493057,-0.5626729245467752,0.6876587340912943
ENSMUSG00000057173,Rfx8,0.0011230724350152744,-0.6072520768955378,1.0,0.0,0.6072520768955378,1.0
ENSMUSG00000101634,1700066B17Rik,0.00037435747833842477,-1.6072520768955378,1.0,0.0,1.6072520768955378,1.0
ENSMUSG00000026074,Map4k4,0.2234914145680396,-1.0485863198826082,0.00022230374497335975,0.46166595560479873,1.0485863198826082,0.00022230374497335975
ENSMUSG00000026073,Il1r2,0.0007487149566768495,-2.02228957617438,0.6170464991550346,0.0022854750277465285,2.02228957617438,0.6170464991550346
ENSMUSG00000026072,Il1r1,0.023958878613659185,-1.6723471051174217,0.00014364473996031167,0.07542067591563544,1.6723471051174217,0.00014364473996031167
ENSMUSG00000070942,Il1rl2,0.005241004696737947,-1.02228957617438,0.5611979511963797,0.009141900110986114,1.02228957617438,0.5611979511963797
ENSMUSG00000026069,Il1rl1,0.0007487149566768495,-2.02228957617438,0.6170464991550346,0.0022854750277465285,2.02228957617438,0.6170464991550346
ENSMUSG00000026070,Il18r1,0.00037435747833842477,-1.6072520768955378,1.0,0.0,1.6072520768955378,1.0
ENSMUSG00000026068,Il18rap,0.00037435747833842477,-1.6072520768955378,1.0,0.0,1.6072520768955378,1.0
ENSMUSG00000026065,Slc9a4,0.005615362175076371,1.392747923104463,0.4935541395127365,0.0,-1.392747923104463,0.4935541395127365
ENSMUSG00000026062,Slc9a2,0.016846086525229117,0.9163098791614761,0.3689517930099469,0.006856425083239585,-0.9163098791614761,0.3689517930099469
ENSMUSG00000041945,Mfsd9,0.01871787391692124,0.2578183430183545,0.9371221883739589,0.01371285016647917,-0.2578183430183545,0.9371221883739589
ENSMUSG00000079588,Tmem182,0.00037435747833842477,-1.6072520768955378,1.0,0.0,1.6072520768955378,1.0
ENSMUSG00000100832,Gm29260,0.00037435747833842477,-1.6072520768955378,1.0,0.0,1.6072520768955378,1.0
ENSMUSG00000101299,Gm28175,0.011979439306829593,-0.3702128795946873,0.8979977319213944,0.01371285016647917,0.3702128795946873,0.8979977319213944
ENSMUSG00000060424,Pantr1,0.5708951544660978,0.0025028852769065635,1.0,0.5690832819088856,-0.0025028852769065635,1.0
ENSMUSG00000093436,Gm20646,0.019840946351936513,0.34028050321032755,0.840161075168398,0.01371285016647917,-0.34028050321032755,0.840161075168398
