Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000025927,Tfap2b,0.003335388801347013,0.9457149092083039,0.6916548152674519,0.002496764485506753,0.7543668692481864,1.0,0.0,-1.1360846676505236,0.7596667191689818
ENSMUSG00000099906,Gm28653,0.0004764841144781447,-0.05428509079169608,1.0,0.0,1.7543668692481873,1.0,0.0,1.0338403337917885,1.0
ENSMUSG00000041872,Il17f,0.0004764841144781447,-0.05428509079169608,1.0,0.0,1.7543668692481873,1.0,0.0,1.0338403337917885,1.0
ENSMUSG00000041859,Mcm3,0.010482650518519182,-0.8526512296220465,0.21895399589124143,0.022470880369560776,1.0319008447770965,0.28960014707342274,0.016405137455413454,0.49327195242908495,0.8351791482122899
ENSMUSG00000097934,6720483E21Rik,0.0019059364579125787,-2.054285090791698,0.03645119693741819,0.009987057942027013,1.7543668692481873,0.22124734103660265,0.008202568727706727,1.4488778330706324,0.5047409165840342
ENSMUSG00000025931,Paqr8,0.5660631280000359,-0.744139096064172,4.731943147974437e-05,0.8164419867607082,0.2821961387802126,0.39377768180967604,1.0351641734365888,0.7715670437977986,0.00047436966949982535
ENSMUSG00000041809,Efhc1,0.004288357030303302,-1.639247591512853,0.03470292255188963,0.019974115884054025,1.9242918706904995,0.0362432339268186,0.009843082473248072,0.6712702544070792,0.8244006140606795
ENSMUSG00000041779,Tram2,0.00714726171717217,-0.5137167094289943,0.6507780994148925,0.012483822427533766,0.9470119471905827,0.48402879600073495,0.008202568727706727,0.2264854117341839,1.0
ENSMUSG00000025933,Tmem14a,0.5551039933670385,0.8201840271244443,5.657764763004222e-05,0.22221203921010102,-1.198794880290561,0.00019024624112382656,0.3740371339834267,-0.4204275269494029,0.24902530407799162
ENSMUSG00000025934,Gsta3,0.009529682289562894,0.016104237099701102,1.0,0.014980586913040519,0.9767592905846358,0.5117985110756273,0.004921541236624036,-0.7210471683716806,0.7497332939084538
ENSMUSG00000099343,Gm28836,0.0004764841144781447,-1.054285090791696,0.7645073866203346,0.002496764485506753,2.7543668692481864,0.4696122524442146,0.0,0.44887783307063245,1.0
ENSMUSG00000028033,Kcnq5,0.3873815850707316,2.1227467971448752,9.142393612636412e-21,0.10985763736229713,-1.5002943555606014,2.1735261975771023e-05,0.07382311854936054,-2.1874315476507453,1.345396213597254e-13
ENSMUSG00000041670,Rims1,0.46647794807410364,0.8055372511600427,0.000174177898662378,0.23719262612314154,-0.8330981386761391,0.016171216162849913,0.2854493917241941,-0.5850694988527063,0.07213594601668738
ENSMUSG00000101227,Gm29506,0.0009529682289562894,0.53067740992946,1.0,0.0,1.1694043685270312,1.0,0.0,0.44887783307063245,1.0
ENSMUSG00000100775,Gm29107,0.005241325259259591,-1.054285090791697,0.28456743313598526,0.01747735139854727,1.7543668692481873,0.07742532019555552,0.006562054982165381,0.10784091523556505,1.0
ENSMUSG00000026158,Ogfrl1,0.8257469703906247,-0.43138801965009144,0.02929621903511007,0.414462904594121,-1.2569273527794322,2.2985758476574e-05,1.5732526819741501,1.0489472261819959,8.651031165187538e-08
ENSMUSG00000026156,B3gat2,0.05956051430976808,-0.720861357066505,0.016430419561949034,0.0374514672826013,-0.9598786484179351,0.07353770419517068,0.137803154625473,1.3036799175306957,1.8160750640040583e-05
ENSMUSG00000026155,Smap1,0.6084702141885907,0.3287490911527271,0.17163533078221493,0.3570373214274657,-0.7410440464946766,0.02427431580134491,0.5676177559573055,-5.865287273176811e-05,1.0
ENSMUSG00000026154,Sdhaf4,0.3992936879326852,-0.035245047851198974,0.9754322772970624,0.3969855531955737,-0.01778272153635485,1.0,0.4166904913675017,0.06529776531338505,0.9988243046766754
ENSMUSG00000026153,Fam135a,0.09339088643771636,0.12482323281595109,0.8235260440361352,0.07739969905070934,-0.22291305425172903,0.7871533027565318,0.090228256004774,0.008305241684650078,1.0
ENSMUSG00000026147,Col9a1,0.0019059364579125787,-1.9022819973466474,0.11382197093435782,0.004993528971013506,0.8798977513320461,0.9005563275867093,0.009843082473248072,2.0338403337917867,0.14251111361072766
ENSMUSG00000026141,Col19a1,0.0023824205723907235,-0.054285090791697854,1.0,0.002496764485506753,0.9470119471905827,0.8390617218548683,0.0016405137455413451,0.22648541173418302,1.0
ENSMUSG00000073725,Lmbrd1,1.162621239326673,0.20461805213059922,0.4358147138853618,1.0436475549418227,-0.10563113477695764,0.946706072234846,0.9859487610703485,-0.21383489407960835,0.6979339494163633
ENSMUSG00000033569,Adgrb3,0.43217109183167723,0.7554551088126642,0.0003907194803741435,0.202237923326047,-0.9715604534655706,0.003981649114174502,0.2903709329608181,-0.4402529460009257,0.23243326072047796
ENSMUSG00000048874,Phf3,0.2935142145185371,0.12737874710738128,0.7516255934049161,0.2771408578912496,-0.04004899710191867,1.0,0.26248219928661526,-0.1430374282922917,0.9087124977940286
ENSMUSG00000117310,Ptp4a1,0.0004764841144781447,-0.05428509079169608,1.0,0.0,1.7543668692481873,1.0,0.0,1.0338403337917885,1.0
ENSMUSG00000026058,Khdrbs2,0.05146028436363963,0.3215818112064692,0.5398342566496577,0.03495470279709454,-0.4262053763936331,0.5895869426854062,0.04429387112961632,-0.1013192494898485,1.0
ENSMUSG00000026134,Prim2,0.032877403898991985,-0.5974274158182258,0.33666029847231516,0.04494176073912155,0.32986904072027645,0.781094982059511,0.052496439857323045,0.6188028345129437,0.5413584122243943
ENSMUSG00000004768,Rab23,0.11673860804714545,-0.12299784087571108,0.7836943697754433,0.1223414597898309,0.05392715110709512,1.0,0.12960058589776627,0.1511972844299465,0.9001570425521196
ENSMUSG00000042215,Bag2,0.07766691065993758,0.5483794116629186,0.1392490827478157,0.047438525224628304,-0.55306165594406,0.3571057270691455,0.05577746734840574,-0.3525764875472883,0.6900489423456279
ENSMUSG00000042197,Zfp451,0.3316329436767887,0.5265436104224461,0.02517522187615585,0.17227674949996596,-0.8645429633963064,0.014911015022905415,0.2674037405232393,-0.18980824351508585,0.804313704818345
